"Dataset";"Movimiento"
"pollen-robotics/reachy-mini-emotions-library";"come1"
"pollen-robotics/reachy-mini-emotions-library";"confused1"
"pollen-robotics/reachy-mini-emotions-library";"contempt1"
"pollen-robotics/reachy-mini-emotions-library";"curious1"
"pollen-robotics/reachy-mini-emotions-library";"dance1"
"pollen-robotics/reachy-mini-emotions-library";"dance2"
"pollen-robotics/reachy-mini-emotions-library";"dance3"
"pollen-robotics/reachy-mini-emotions-library";"disgusted1"
"pollen-robotics/reachy-mini-emotions-library";"displeased1"
"pollen-robotics/reachy-mini-emotions-library";"displeased2"
"pollen-robotics/reachy-mini-emotions-library";"downcast1"
"pollen-robotics/reachy-mini-emotions-library";"dying1"
"pollen-robotics/reachy-mini-emotions-library";"electric1"
"pollen-robotics/reachy-mini-emotions-library";"enthusiastic1"
"pollen-robotics/reachy-mini-emotions-library";"enthusiastic2"
"pollen-robotics/reachy-mini-emotions-library";"exhausted1"
"pollen-robotics/reachy-mini-emotions-library";"fear1"
"pollen-robotics/reachy-mini-emotions-library";"frustrated1"
"pollen-robotics/reachy-mini-emotions-library";"furious1"
"pollen-robotics/reachy-mini-emotions-library";"go_away1"
"pollen-robotics/reachy-mini-emotions-library";"grateful1"
"pollen-robotics/reachy-mini-emotions-library";"helpful1"
"pollen-robotics/reachy-mini-emotions-library";"helpful2"
"pollen-robotics/reachy-mini-emotions-library";"impatient1"
"pollen-robotics/reachy-mini-emotions-library";"impatient2"
"pollen-robotics/reachy-mini-emotions-library";"incomprehensible2"
"pollen-robotics/reachy-mini-emotions-library";"indifferent1"
"pollen-robotics/reachy-mini-emotions-library";"inquiring1"
"pollen-robotics/reachy-mini-emotions-library";"inquiring2"
"pollen-robotics/reachy-mini-emotions-library";"inquiring3"
"pollen-robotics/reachy-mini-emotions-library";"irritated1"
"pollen-robotics/reachy-mini-emotions-library";"irritated2"
"pollen-robotics/reachy-mini-emotions-library";"laughing1"
"pollen-robotics/reachy-mini-emotions-library";"laughing2"
"pollen-robotics/reachy-mini-emotions-library";"lonely1"
"pollen-robotics/reachy-mini-emotions-library";"lost1"
"pollen-robotics/reachy-mini-emotions-library";"loving1"
"pollen-robotics/reachy-mini-emotions-library";"mini-deep-sleep"
"pollen-robotics/reachy-mini-emotions-library";"no_excited1"
"pollen-robotics/reachy-mini-emotions-library";"no_sad1"
"pollen-robotics/reachy-mini-emotions-library";"no1"
"pollen-robotics/reachy-mini-emotions-library";"oops1"
"pollen-robotics/reachy-mini-emotions-library";"oops2"
"pollen-robotics/reachy-mini-emotions-library";"proud1"
"pollen-robotics/reachy-mini-emotions-library";"proud2"
"pollen-robotics/reachy-mini-emotions-library";"proud3"
"pollen-robotics/reachy-mini-emotions-library";"rage1"
"pollen-robotics/reachy-mini-emotions-library";"relief1"
"pollen-robotics/reachy-mini-emotions-library";"relief2"
"pollen-robotics/reachy-mini-emotions-library";"reprimand1"
"pollen-robotics/reachy-mini-emotions-library";"reprimand2"
"pollen-robotics/reachy-mini-emotions-library";"reprimand3"
"pollen-robotics/reachy-mini-emotions-library";"resigned1"
"pollen-robotics/reachy-mini-emotions-library";"sad1"
"pollen-robotics/reachy-mini-emotions-library";"sad2"
"pollen-robotics/reachy-mini-emotions-library";"scared1"
"pollen-robotics/reachy-mini-emotions-library";"serenity1"
"pollen-robotics/reachy-mini-emotions-library";"shy1"
"pollen-robotics/reachy-mini-emotions-library";"sleep1"
"pollen-robotics/reachy-mini-emotions-library";"success1"
"pollen-robotics/reachy-mini-emotions-library";"success2"
"pollen-robotics/reachy-mini-emotions-library";"surprised1"
"pollen-robotics/reachy-mini-emotions-library";"surprised2"
"pollen-robotics/reachy-mini-emotions-library";"thoughtful1"
"pollen-robotics/reachy-mini-emotions-library";"thoughtful2"
"pollen-robotics/reachy-mini-emotions-library";"tired1"
"pollen-robotics/reachy-mini-emotions-library";"toc-toc-toc"
"pollen-robotics/reachy-mini-emotions-library";"uncertain1"
"pollen-robotics/reachy-mini-emotions-library";"uncomfortable1"
"pollen-robotics/reachy-mini-emotions-library";"understanding1"
"pollen-robotics/reachy-mini-emotions-library";"understanding2"
"pollen-robotics/reachy-mini-emotions-library";"waiting"
"pollen-robotics/reachy-mini-emotions-library";"wake-mini-up"
"pollen-robotics/reachy-mini-emotions-library";"welcoming1"
"pollen-robotics/reachy-mini-emotions-library";"welcoming2"
"pollen-robotics/reachy-mini-emotions-library";"yes_sad1"
"pollen-robotics/reachy-mini-emotions-library";"yes1"
"ShivanshVikram/happy-dance";"attention"
"ShivanshVikram/happy-dance";"attention-1"
"ShivanshVikram/happy-dance";"attention-2"
"ShivanshVikram/happy-dance";"attention-3"
